CodeDiplome;Intitulé Diplôme;CodeRNCP;Niveau2019;type Diplôme;DerniereMaJ
1034401;SURETE DES ESPACES OUVERTS AU PUBLIC (MC NIVEAU V);RNCP1177;niveau3;MC5;v1.0
1034402;SECURITE CIVILE ET D'ENTREPRISE (MC NIVEAU V);RNCP853;niveau3;MC5;v1.0
10033101;DE DOCTEUR EN PHARMACIE;NR;niveau8;DOCTORAT;v1.0
13511005;CHIMIE (MASTER NANTES);RNCP31803;niveau7;MASTER PRO;v1.0
13511006;SCIENCES DE L'EAU (MASTER LYON 2);RNCP34097;niveau7;MASTER PRO;v1.0
13511007;SCIENCES DE L'EAU (MASTER TOURS);RNCP34097;niveau7;MASTER PRO;v1.0
13511008;SCIENCES DE LA MER (MASTER);NR;niveau7;MASTER PRO;v1.0
13511009;ERGONOMIE (MASTER);RNCP31807;niveau7;MASTER PRO;v1.0
13511010;APPROCHES INTERDISCIPLINAIRES DE LA RECHERCHE ET DE L'ENSEIGNEMENT (MASTER);RNCP34218;niveau7;MASTER PRO;v1.1
13511011;SCIENCES POUR L'ENVIRONNEMENT (MASTER);RNCP34134;niveau7;MASTER PRO;v1.1
13511102;SCIENCES ET GENIE DES MATERIAUX (MASTER VALENCIENNES);RNCP32137;niveau7;MASTER PRO;v1.0
13511107;SCIENCES ET GENIE DES MATERIAUX (MASTER PARIS SACLAY);RNCP32137;niveau7;MASTER PRO;v1.0
13511108;CHIMIE PHYSIQUE ET ANALYTIQUE (MASTER);RNCP31488;niveau7;MASTER PRO;v1.0
13511109;CHIMIE (MASTER GRENOBLE ALPES);RNCP31803;niveau7;MASTER PRO;v1.0
13511202;CHIMIE (MASTER STRASBOURG);RNCP31803;niveau7;MASTER PRO;v1.0
13511203;CHIMIE (MASTER PARIS 12);RNCP31803;niveau7;MASTER PRO;v1.0
13511204;CHIMIE MOLECULAIRE (MASTER COMUE COTE D'AZUR);RNCP32150;niveau7;MASTER PRO;v1.0
13511205;BIOTECHNOLOGIES (MASTER);RNCP34037;niveau7;MASTER PRO;v1.1
13511301;GEORESSOURCES, GEORISQUES, GEOTECHNIQUE (MASTER);RNCP34099;niveau7;MASTER PRO;v1.0
13511302;SCIENCES DE L'OCEAN, DE L'ATMOSPHERE ET DU CLIMAT (MASTER);RNCP34093;niveau7;MASTER PRO;v1.0
13511303;BIODIVERSITE , ECOLOGIE, EVOLUTION (MASTER PARIS SACLAY);RNCP34154;niveau7;MASTER PRO;v1.0
13511304;AGROSCIENCES, ENVIRONNEMENT, TERRITOIRES, PAYSAGE, FORET (MASTER);RNCP34156;niveau7;MASTER PRO;v1.1
13511305;SCIENCES ET TECHNOLOGIES DE L'AGRICULTURE, DE L'ALIMENTATION ET DE L'ENVIRONNEMENT (MASTER);NR;niveau7;MASTER PRO;v1.0
13511306;SCIENCES DE L'EAU (MASTER);RNCP34097;niveau7;MASTER PRO;v1.0
13511401;ACTUARIAT (MARNE LA VALLEE);RNCP31505;niveau7;MASTER PRO;v1.0
13511404;MATHEMATIQUES, INFORMATIQUE, DECISION ET ORGANISATION (MIDO) : MATHEMATIQUES APPLIQUEES (MASTER DAUPHINE);RNCP34220;niveau7;MASTER PRO;v1.0
13511406;INFORMATIQUE (MASTER AVIGNON);RNCP34126;niveau7;MASTER PRO;v1.0
13511408;ACTUARIAT (MASTER STRASBOURG);RNCP31505;niveau7;MASTER PRO;v1.0
13511409;ACTUARIAT (MASTER LE MANS);RNCP31505;niveau7;MASTER PRO;v1.0
13511410;MATHEMATIQUES ET INFORMATIQUE APPLIQUEES AUX SCIENCES HUMAINES ET SOCIALES -MIASHS (MASTER MONTPELLIER 3);RNCP34220;niveau7;MASTER PRO;v1.0
13511412;MATHEMATIQUES ET INFORMATIQUE APPLIQUEES AUX SCIENCES HUMAINES ET SOCIALES -MIASHS (MASTER ANGERS);RNCP34220;niveau7;MASTER PRO;v1.0
13511413;MATHEMATIQUES ET APPLICATIONS (MASTER COMUE COTE D'AZUR);RNCP34274;niveau7;MASTER PRO;v1.0
13511415;MATHEMATIQUES ET APPLICATIONS (MASTER ANGERS);RNCP34274;niveau7;MASTER PRO;v1.0
13511416;MATHEMATIQUES ET APPLICATIONS (MASTER);RNCP34274;niveau7;MASTER PRO;v1.0
13511417;MATHEMATIQUES APPLIQUEES, STATISTIQUE (MASTER);RNCP34039;niveau7;MASTER PRO;v1.0
13511508;PHYSIQUE FONDAMENTALE ET APPLICATIONS (MASTER BORDEAUX);RNCP31808;niveau7;MASTER PRO;v1.0
13511510;PHYSIQUE (MASTER);NR;niveau7;MASTER PRO;v1.0
13511511;PHYSIQUE APPLIQUEE ET INGENIERIE PHYSIQUE (MASTER ORLEANS);NR;niveau7;MASTER PRO;v1.0
13511512;PHYSIQUE APPLIQUEE ET INGENIERIE PHYSIQUE (MASTER LIMOGES);RNCP27144;niveau7;MASTER PRO;v1.0
13511513;PHYSIQUE FONDAMENTALE ET APPLICATIONS (MASTER TOULOUSE 3);RNCP31808;niveau7;MASTER PRO;v1.0
13511514;MECANIQUE (MASTER LORRAINE);RNCP34069;niveau7;MASTER PRO;v1.0
13511515;NANOSCIENCES ET NANOTECHNOLOGIES (MASTER);RNCP31502;niveau7;MASTER PRO;v1.0
13511516;PHYSIQUE APPLIQUEE ET INGENIERIE PHYSIQUE (MASTER);NR;niveau7;MASTER PRO;v1.0
13511517;PHYSIQUE FONDAMENTALE ET APPLICATIONS (MASTER);RNCP31808;niveau7;MASTER PRO;v1.0
13511602;CHIMIE ET SCIENCES DES MATERIAUX (MASTER EVRY);RNCP34112;niveau7;MASTER PRO;v1.1
13511607;CHIMIE (MASTER LYON 1);RNCP31803;niveau7;MASTER PRO;v1.0
13511608;CHIMIE (MASTER ANGERS);RNCP31803;niveau7;MASTER PRO;v1.0
13511609;CHIMIE (MASTER CHAMBERY);RNCP31803;niveau7;MASTER PRO;v1.0
13511610;CHIMIE (MASTER POITIERS);RNCP31803;niveau7;MASTER PRO;v1.0
13511611;CHIMIE (MASTER LORRAINE);RNCP31803;niveau7;MASTER PRO;v1.0
13511612;CHIMIE (MASTER BESANCON);RNCP31803;niveau7;MASTER PRO;v1.0
13511613;CHIMIE (MASTER LIMOGES);RNCP31803;niveau7;MASTER PRO;v1.0
13511614;CHIMIE (MASTER);RNCP31803;niveau7;MASTER PRO;v1.0
13511615;CHIMIE MOLECULAIRE (MASTER);RNCP32150;niveau7;MASTER PRO;v1.0
13511704;RISQUES ET ENVIRONNEMENT (MASTER CORSE);RNCP34070;niveau7;MASTER PRO;v1.0
13511709;SCIENCES DE LA TERRE ET DES PLANETES, ENVIRONNEMENT (MASTER PARIS SACLAY);RNCP31500;niveau7;MASTER PRO;v1.0
13511710;SCIENCES DE LA TERRE ET DES PLANETES, ENVIRONNEMENT (MASTER);RNCP31500;niveau7;MASTER PRO;v1.0
13511801;BIO-INFORMATIQUE (MASTER);RNCP34129;niveau7;MASTER PRO;v1.0
13511806;INGENIERIE DE LA SANTE (MASTER POITIERS);RNCP34075;niveau7;MASTER PRO;v1.0
13511807;BIODIVERSITE , ECOLOGIE, EVOLUTION (MASTER MONTPELLIER);RNCP34154;niveau7;MASTER PRO;v1.0
13511813;SCIENCES DU VIVANT (MASTER);RNCP34110;niveau7;MASTER PRO;v1.1
13511814;SCIENCES DE L'EAU (MASTER MONTPELLIER);RNCP34097;niveau7;MASTER PRO;v1.0
13511817;BIODIVERSITE, ECOLOGIE ET EVOLUTION (MASTER TOURS);RNCP34154;niveau7;MASTER PRO;v1.0
13511818;BIODIVERSITE, ECOLOGIE ET EVOLUTION (MASTER POITIERS);RNCP34154;niveau7;MASTER PRO;v1.0
13511819;BIOLOGIE VEGETALE (MASTER);RNCP31802;niveau7;MASTER PRO;v1.0
13511820;NEUROSCIENCES (MASTER);RNCP34152;niveau7;MASTER PRO;v1.0
13511821;BIOLOGIE INTEGRATIVE ET PHYSIOLOGIE (MASTER);RNCP34271;niveau7;MASTER PRO;v1.0
13511822;BIODIVERSITE, ECOLOGIE ET EVOLUTION (MASTER);RNCP34154;niveau7;MASTER PRO;v1.0
13511823;BIOLOGIE MOLECULAIRE ET CELLULAIRE (MASTER);RNCP34272;niveau7;MASTER PRO;v1.0
13512005;URBANISME ET AMENAGEMENT (MASTER PERPIGNAN);RNCP31470;niveau7;MASTER PRO;v1.0
13512006;SCIENCES DES ORGANISATIONS (DROIT, ECONOMIE, GESTION, SCIENCES SOCIALES) : ACTIONS PUBLIQUES ET REGULATIONS SOCIALES (MASTER DAUPHINE);NR;niveau7;MASTER PRO;v1.0
13512007;ETUDES EUROPEENNES ET INTERNATIONALES (MASTER);RNCP34133;niveau7;MASTER PRO;v1.0
13512008;VILLE ET ENVIRONNEMENTS URBAINS (MASTER);RNCP31450;niveau7;MASTER PRO;v1.0
13512009;ETUDES SUR LE GENRE (MASTER);RNCP31494;niveau7;MASTER PRO;v1.0
13512010;ADMINISTRATION ECONOMIQUE ET SOCIALE (MASTER);RNCP34081;niveau7;MASTER PRO;v1.0
13512011;RELATIONS INTERNATIONALES (MASTER);NR;niveau7;MASTER PRO;v1.0
13512104;GEOGRAPHIE, AMENAGEMENT, ENVIRONNEMENT ET DEVELOPPEMENT (MASTER PARIS 8);RNCP34074;niveau7;MASTER PRO;v1.0
13512105;GEOMATIQUE (MASTER);NR;niveau7;MASTER PRO;v1.0
13512107;GEOGRAPHIE, AMENAGEMENT, ENVIRONNEMENT ET DEVELOPPEMENT (MASTER BESANCON);RNCP34074;niveau7;MASTER PRO;v1.0
13512108;GEOGRAPHIE, AMENAGEMENT, ENVIRONNEMENT ET DEVELOPPEMENT (MASTER DIJON);RNCP34074;niveau7;MASTER PRO;v1.0
13512109;GEOGRAPHIE (MASTER);RNCP34074;niveau7;MASTER PRO;v1.1
13512110;GEOGRAPHIE, AMENAGEMENT, ENVIRONNEMENT ET DEVELOPPEMENT (MASTER);RNCP34074;niveau7;MASTER PRO;v1.0
13512201;ECONOMIE DES ORGANISATIONS (MASTER GRENOBLE ALPES);RNCP34226;niveau7;MASTER PRO;v1.0
13512211;ECONOMIE SOCIALE ET SOLIDAIRE (MASTER MULHOUSE);NR;niveau7;MASTER PRO;v1.0
13512216;ECONOMIE DE L'ENVIRONNEMENT, DE L'ENERGIE ET DES TRANSPORTS (MASTER);RNCP34221;niveau7;MASTER PRO;v1.0
13512218;INNOVATION, ENTREPRISE ET SOCIETE (MASTER PARIS SACLAY);RNCP24782;niveau7;MASTER PRO;v1.0
13512219;ECONOMIE APPLIQUEE (MASTER PARIS 12);RNCP34428;niveau7;MASTER PRO;v1.0
13512220;INTELLIGENCE ECONOMIQUE (MASTER POITIERS);RNCP34077;niveau7;MASTER PRO;v1.0
13512224;INTELLIGENCE ECONOMIQUE (MASTER MARNE LA VALLEE);RNCP34077;niveau7;MASTER PRO;v1.0
13512225;ECONOMIE INTERNATIONALE (MASTER);NR;niveau7;MASTER PRO;v1.0
13512226;ANALYSE ET POLITIQUE ECONOMIQUE (MASTER SAINT ETIENNE);RNCP34424;niveau7;MASTER PRO;v1.0
13512227;ECONOMIE DES ORGANISATIONS (MASTER COMUE COTE D'AZUR);RNCP34226;niveau7;MASTER PRO;v1.0
13512228;ECONOMETRIE, STATISTIQUES (MASTER TOULOUSE 1);RNCP34294;niveau7;MASTER PRO;v1.0
13512232;ECONOMIE DU DEVELOPPEMENT (MASTER);RNCP34440;niveau7;MASTER PRO;v1.0
13512233;ANALYSE ET POLITIQUE ECONOMIQUE (MASTER);RNCP34424;niveau7;MASTER PRO;v1.0
13512234;ECONOMETRIE, STATISTIQUES (MASTER);RNCP34294;niveau7;MASTER PRO;v1.0
13512235;ECONOMIE DE L'ENTREPRISE ET DES MARCHES (MASTER);RNCP34292;niveau7;MASTER PRO;v1.0
13512236;ECONOMIE ET MANAGEMENT PUBLICS (MASTER);NR;niveau7;MASTER PRO;v1.0
13512237;ECONOMIE APPLIQUEE (MASTER);RNCP34428;niveau7;MASTER PRO;v1.0
13512238;ECONOMIE DES ORGANISATIONS (MASTER);RNCP34226;niveau7;MASTER PRO;v1.0
13512302;SCIENCES DE L'EDUCATION (MASTER STRASBOURG);RNCP31849;niveau7;MASTER PRO;v1.1
13512303;INFORMATION, COMMUNICATION (MASTER CORSE);RNCP31496;niveau7;MASTER PRO;v1.0
13512305;DEMOGRAPHIE (MASTER);NR;niveau7;MASTER PRO;v1.0
13512306;SOCIOLOGIE (MASTER NANTES);RNCP31499;niveau7;MASTER PRO;v1.0
13512307;SCIENCES SOCIALES (MASTER MARNE LA VALLEE);RNCP34296;niveau7;MASTER PRO;v1.1
13512308;SOCIOLOGIE (MASTER PARIS SACLAY);RNCP31499;niveau7;MASTER PRO;v1.0
13512310;SOCIOLOGIE (MASTER CHAMBERY);RNCP31499;niveau7;MASTER PRO;v1.0
13512311;SCIENCES SOCIALES (MASTER BORDEAUX);RNCP34296;niveau7;MASTER PRO;v1.1
13512312;SCIENCES DE L'EDUCATION (MASTER DIJON);RNCP31849;niveau7;MASTER PRO;v1.1
13512313;SCIENCES SOCIALES (MASTER);RNCP34296;niveau7;MASTER PRO;v1.1
13512314;SOCIOLOGIE (MASTER);RNCP31499;niveau7;MASTER PRO;v1.0
13512401;PSYCHOLOGIE SOCIALE, DU TRAVAIL ET DES ORGANISATIONS (MASTER MONTPELLIER 3);RNCP31811;niveau7;MASTER PRO;v1.0
13512402;PSYCHOLOGIE SOCIALE, DU TRAVAIL ET DES ORGANISATIONS (MASTER STRASBOURG);RNCP31811;niveau7;MASTER PRO;v1.0
13512403;PSYCHOLOGIE (MASTER POITIERS);RNCP32277;niveau7;MASTER PRO;v1.1
13512404;PSYCHOLOGIE (MASTER DIJON);RNCP32277;niveau7;MASTER PRO;v1.1
13512405;PSYCHOLOGIE (MASTER);RNCP32277;niveau7;MASTER PRO;v1.1
13512406;SCIENCES COGNITIVES (MASTER);RNCP34433;niveau7;MASTER PRO;v1.1
13512407;PSYCHOLOGIE SOCIALE, DU TRAVAIL ET DES ORGANISATIONS (MASTER);RNCP31811;niveau7;MASTER PRO;v1.0
13512504;DIDACTIQUE DES LANGUES (MASTER);NR;niveau7;MASTER PRO;v1.0
13512601;HISTOIRE (MASTER MARNE LA VALLEE);RNCP24430;niveau7;MASTER PRO;v1.0
13512604;HISTOIRE (MASTER ORLEANS);RNCP24430;niveau7;MASTER PRO;v1.0
13512605;HISTOIRE, CIVILISATIONS, PATRIMOINE (MASTER);RNCP34096;niveau7;MASTER PRO;v1.1
13512606;HISTOIRE (MASTER);RNCP24430;niveau7;MASTER PRO;v1.0
13512607;ARCHEOLOGIE, SCIENCES POUR L'ARCHEOLOGIE (MASTER);RNCP31490;niveau7;MASTER PRO;v1.0
13512701;PHILOSOPHIE (MASTER);NR;niveau7;MASTER PRO;v1.1
13512807;DROIT EUROPEEN (MASTER);RNCP34109;niveau7;MASTER PRO;v1.0
13512808;DROIT PUBLIC (MASTER CERGY);RNCP34084;niveau7;MASTER PRO;v1.0
1351280A;DROIT DES AFFAIRES (MASTER BESANCON);RNCP34127;niveau7;MASTER PRO;v1.0
1351280B;DROIT DES COLLECTIVITES TERRITORIALES (MASTER CORSE);RNCP34087;niveau7;MASTER PRO;v1.0
1351280C;DROIT DES AFFAIRES (MASTER TOULOUSE 1);RNCP34127;niveau7;MASTER PRO;v1.0
1351280D;DROIT DE L'ENTREPRISE (MASTER TOURS);RNCP34225;niveau7;MASTER PRO;v1.0
1351280E;DROIT DE L'ENVIRONNEMENT ET DE L'URBANISME (MASTER TOURS);RNCP34080;niveau7;MASTER PRO;v1.0
1351280F;DROIT PUBLIC (MASTER TOURS);RNCP34084;niveau7;MASTER PRO;v1.0
1351280G;DROIT PUBLIC (MASTER ORLEANS);RNCP34084;niveau7;MASTER PRO;v1.0
1351280H;JUSTICE, PROCES ET PROCEDURES (MASTER TOURS);RNCP34098;niveau7;MASTER PRO;v1.0
1351280J;DROIT (MASTER MULHOUSE);RNCP34108;niveau7;MASTER PRO;v1.1
1351280K;DROIT DES AFFAIRES (MASTER STRASBOURG);RNCP34127;niveau7;MASTER PRO;v1.0
1351280L;DROIT DE L'ENTREPRISE (MASTER MONTPELLIER);RNCP34225;niveau7;MASTER PRO;v1.0
1351280M;DROIT DES COLLECTIVITES TERRITORIALES (MASTER);RNCP34087;niveau7;MASTER PRO;v1.0
1351280N;JUSTICE, PROCES ET PROCEDURES (MASTER);RNCP34098;niveau7;MASTER PRO;v1.0
1351280P;DROIT PUBLIC (MASTER CLERMONT AUVERGNE);RNCP34084;niveau7;MASTER PRO;v1.0
1351280Q;DROIT NOTARIAL (MASTER);RNCP34124;niveau7;MASTER PRO;v1.0
13512810;DROIT DE LA SANTE (MASTER MONTPELLIER);RNCP31492;niveau7;MASTER PRO;v1.0
13512815;DROIT, ECONOMIE, GESTION : DROIT DES ASSURANCES (MASTER PARIS 12);NR;niveau7;MASTER PRO;v1.0
1351281A;DROIT DES AFFAIRES (MASTER AIX MARSEILLE);RNCP34127;niveau7;MASTER PRO;v1.0
1351281B;DROIT PRIVE (MASTER COMUE COTE D'AZUR);RNCP34123;niveau7;MASTER PRO;v1.0
1351281C;DROIT DU NUMERIQUE (MASTER);RNCP34089;niveau7;MASTER PRO;v1.0
1351281D;DROIT PUBLIC (MASTER LA REUNION);RNCP34084;niveau7;MASTER PRO;v1.0
1351281E;DROIT DES AFFAIRES (MASTER LORRAINE);RNCP34127;niveau7;MASTER PRO;v1.0
1351281F;DROIT PUBLIC (MASTER BORDEAUX);RNCP34084;niveau7;MASTER PRO;v1.0
1351281G;DROIT PUBLIC (MASTER PAU);RNCP34084;niveau7;MASTER PRO;v1.0
1351281H;DROIT DE L'ENTREPRISE (MASTER BESANCON);RNCP34225;niveau7;MASTER PRO;v1.0
1351281J;DROIT DE L'ENTREPRISE (MASTER);RNCP34225;niveau7;MASTER PRO;v1.0
1351281K;DROIT PUBLIC (MASTER);RNCP34084;niveau7;MASTER PRO;v1.0
1351281L;DROIT DES AFFAIRES (MASTER);RNCP34127;niveau7;MASTER PRO;v1.0
1351281M;DROIT PRIVE (MASTER);RNCP34123;niveau7;MASTER PRO;v1.0
1351281N;DROIT (MASTER);RNCP34108;niveau7;MASTER PRO;v1.1
1351281P;DROIT SOCIAL (MASTER);RNCP31493;niveau7;MASTER PRO;v1.0
1351281R;DROIT DES ASSURANCES (MASTER);NR;niveau7;MASTER PRO;v1.0
1351281S;DROIT BANCAIRE ET FINANCIER (MASTER);RNCP34072;niveau7;MASTER PRO;v1.0
1351281T;DROIT DE L'IMMOBILIER (MASTER);RNCP34105;niveau7;MASTER PRO;v1.0
1351281U;DROIT DU PATRIMOINE (MASTER);RNCP34085;niveau7;MASTER PRO;v1.1
1351281W;DROIT FISCAL (MASTER);RNCP34122;niveau7;MASTER PRO;v1.0
1351281X;DROIT PUBLIC DES AFFAIRES (MASTER);RNCP34153;niveau7;MASTER PRO;v1.0
1351281Y;DROIT DE LA SANTE (MASTER);RNCP31492;niveau7;MASTER PRO;v1.0
1351281Z;DROIT DE L'ENVIRONNEMENT ET DE L'URBANISME (MASTER);RNCP34080;niveau7;MASTER PRO;v1.0
13512821;SCIENCE POLITIQUE (MASTER VERSAILLES);RNCP31506;niveau7;MASTER PRO;v1.0
13512823;DROIT SOCIAL (MASTER ORLEANS);RNCP31493;niveau7;MASTER PRO;v1.0
13512826;DROIT DES ASSURANCES (MASTER LA ROCHELLE);NR;niveau7;MASTER PRO;v1.0
13512828;DROIT ADMINISTRATIF (MASTER VERSAILLES);NR;niveau7;MASTER PRO;v1.0
1351282A;SCIENCE POLITIQUE (MASTER);RNCP31506;niveau7;MASTER PRO;v1.0
13512833;DROIT DE L'ENVIRONNEMENT ET DE L'URBANISME (MASTER PERPIGNAN);RNCP34080;niveau7;MASTER PRO;v1.0
13512835;DROIT SOCIAL (MASTER TOULOUSE 1);RNCP31493;niveau7;MASTER PRO;v1.0
13512836;SCIENCES DES ORGANISATIONS (DROIT, ECONOMIE, GESTION, SCIENCES SOCIALES) : DROIT (MASTER DAUPHINE);NR;niveau7;MASTER PRO;v1.0
13512837;DROIT INTERNATIONAL (MASTER GRENOBLE ALPES);RNCP34128;niveau7;MASTER PRO;v1.0
13512838;DROIT PUBLIC DES AFFAIRES (MASTER POITIERS);RNCP34153;niveau7;MASTER PRO;v1.0
13512845;DROIT DU PATRIMOINE (MASTER AMIENS);RNCP34085;niveau7;MASTER PRO;v1.1
13512856;DROIT SOCIAL (MASTER NANTES);RNCP31493;niveau7;MASTER PRO;v1.0
13512858;DROIT, ECONOMIE, GESTION : DROIT DES AFFAIRES (MASTER LILLE 2);RNCP34127;niveau7;MASTER PRO;v1.0
13512859;DROIT PUBLIC (MASTER AIX MARSEILLE);RNCP34084;niveau7;MASTER PRO;v1.0
13512861;FINANCES PUBLIQUES (MASTER MONTPELLIER);RNCP24536;niveau7;MASTER PRO;v1.0
13512869;DROIT, ECONOMIE, GESTION : DROIT PRIVE (MASTER CERGY);RNCP34123;niveau7;MASTER PRO;v1.0
13512870;DROIT SOCIAL (MASTER STRASBOURG);RNCP31493;niveau7;MASTER PRO;v1.0
13512873;DROIT SOCIAL (MASTER PARIS SACLAY);RNCP31493;niveau7;MASTER PRO;v1.0
