UAI;COMMUNE;ACADEMIE;MINISTERE;TYPE_ETABLISSEMENT;MNEMONIQUE_FORMATION_ACCUEIL;CODE_SPECIALITE_FORMATION_ACCUEIL;LIBELLE_FORMATION_ACCUEIL_BAN;CODE_FORMATION_ACCUEIL_BAN;CODE_COMMUNE_INSEE;CODE_POSTAL
0040161D ; DIGNE LES BAINS CEDEX      ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  22139                             ;  1CAP2  CUISINE                           ;  24122139210                ;  04070              ;  04004
0040161D ; DIGNE LES BAINS CEDEX      ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  22141                             ;  1CAP2  PATISSIER                         ;  24122141210                ;  04070              ;  04004
0040161D ; DIGNE LES BAINS CEDEX      ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  22715                             ;  1CAP2  MONTEUR INSTALLATIONS THERMIQUES  ;  24122715210                ;  04070              ;  04004
0040161D ; DIGNE LES BAINS CEDEX      ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  23217                             ;  1CAP2  MACON                             ;  24123217210                ;  04070              ;  04004
0040161D ; DIGNE LES BAINS CEDEX      ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  23324                             ;  1CAP2  MONTEUR INSTALLATIONS SANITAIRES  ;  24123324210                ;  04070              ;  04004
0040161D ; DIGNE LES BAINS CEDEX      ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  23325                             ;  1CAP2  CARRELEUR MOSAISTE                ;  24123325210                ;  04070              ;  04004
0040161D ; DIGNE LES BAINS CEDEX      ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  23327                             ;  1CAP2  PEINTRE APPLICATEUR REVETEMENTS   ;  24123327210                ;  04070              ;  04004
0040161D ; DIGNE LES BAINS CEDEX      ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  25218                             ;  1CAP2  MAINT.VEHIC.OPTA VOIT.PARTICUL.   ;  24125218210                ;  04070              ;  04004
0040161D ; DIGNE LES BAINS CEDEX      ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  25433                             ;  1CAP2  PEINTURE EN CARROSSERIE           ;  24125433210                ;  04070              ;  04004
0040161D ; DIGNE LES BAINS CEDEX      ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  25434                             ;  1CAP2  REPARATION DES CARROSSERIES       ;  24125434210                ;  04070              ;  04004
0040161D ; DIGNE LES BAINS CEDEX      ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  25524                             ;  1CAP2  ELECTRICIEN                       ;  24125524210                ;  04070              ;  04004
0040161D ; DIGNE LES BAINS CEDEX      ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  31215                             ;  1CAP2  EMPLOY.VENTE : PRDTS ALIMENTAIRES ;  24131215210                ;  04070              ;  04004
0040161D ; DIGNE LES BAINS CEDEX      ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  31216                             ;  1CAP2  EMPL.VENTE: PRDTS EQUIP.COURANTS  ;  24131216210                ;  04070              ;  04004
0040161D ; DIGNE LES BAINS CEDEX      ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  31224                             ;  1CAP2 EQUIPIER POLYVALENT DU COMMERCE    ;  AFFECTATION                ;  04070              ;  04004
0040161D ; DIGNE LES BAINS CEDEX      ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  33204                             ;  1CAP2  ACCOMPAG. EDUCATIF PETITE ENFANCE ;  24133204210                ;  04070              ;  04004
0040161D ; DIGNE LES BAINS CEDEX      ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  33412                             ;  1CAP2  COMMER.SERV.HOTEL-CAFE-RESTAURANT ;  24133412210                ;  04070              ;  04004
0040161D ; DIGNE LES BAINS CEDEX      ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  33615                             ;  1CAP2  ESTHETIQUE COSMETIQUE PARFUMERIE  ;  24133615210                ;  04070              ;  04004
0040161D ; DIGNE LES BAINS CEDEX      ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  33616                             ;  1CAP2  METIERS DE LA COIFFURE            ;  24133616210                ;  04070              ;  04004
0040161D ; DIGNE LES BAINS CEDEX      ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  2NDPRO                       ;  25218                             ;  2NDPRO MAINTENANCE VEHIC. 2NDE COMMUNE   ;  24725218310                ;  04070              ;  04004
0040161D ; DIGNE LES BAINS CEDEX      ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  2NDPRO                       ;  25408                             ;  2NDPRO REPARATION DES CARROSSERIES       ;  24725408310                ;  04070              ;  04004
0040161D ; DIGNE LES BAINS CEDEX      ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  2NDPRO                       ;  31213                             ;  2NDPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM. ;  24731213310                ;  04070              ;  04004
0040430W ; CHATEAU-ARNOUX-SAINT-AUBAN ; AIX-MARSEILLE                            ;Santé; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2R                       ;  999                               ;  1CAP2 METIERS DIVERS APPRENT.            ;  AFFECTATION                ;  04049              ;  04160
0040493P ; LE CHAFFAUT ST JURSON      ; AIX-MARSEILLE                            ; Agriculture         ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2A                       ;  21130                             ;  1CAP2A METIERS DE L'AGRICULTURE          ;  27121130210                ;  04046              ;  04510
0040493P ; LE CHAFFAUT ST JURSON      ; AIX-MARSEILLE                            ; Agriculture         ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2A                       ;  21405                             ;  1CAP2A JARDINIER PAYSAGISTE              ;  27121405210                ;  04046              ;  04510
0040565T ; CHATEAU ARNOUX ST AUBAN    ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  2DPROR                       ;  21406                             ;  2PROA TEC CONS VTE PRODT. JARD.APPRENT.  ;  AFFECTATION                ;  04049              ;  04160
0050009H ; GAP CEDEX                  ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  22139                             ;  1CAP2  CUISINE                           ;  24122139210                ;  05061              ;  05001
0050009H ; GAP CEDEX                  ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  33412                             ;  1CAP2  COMMER.SERV.HOTEL-CAFE-RESTAURANT ;  24133412210                ;  05061              ;  05001
0050027C ; VEYNES                     ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  31224                             ;  1CAP2 EQUIPIER POLYVALENT DU COMMERCE    ;  AFFECTATION                ;  05179              ;  05400
0050039R ; ST JEAN ST NICOLAS         ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  23002                             ;  1CAP2 MAINTENANCE BATIMENTS DE COLLECT.  ;  24123002210                ;  05145              ;  05260
0050039R ; ST JEAN ST NICOLAS         ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  23324                             ;  1CAP2  MONTEUR INSTALLATIONS SANITAIRES  ;  24123324210                ;  05145              ;  05260
0050503V ; GAP                        ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  22135                             ;  1CAP2  BOUCHER                           ;  24122135210                ;  05061              ;  05000
0050503V ; GAP                        ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  22139                             ;  1CAP2  CUISINE                           ;  24122139210                ;  05061              ;  05000
0050503V ; GAP                        ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  22141                             ;  1CAP2  PATISSIER                         ;  24122141210                ;  05061              ;  05000
0050503V ; GAP                        ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  23217                             ;  1CAP2  MACON                             ;  24123217210                ;  05061              ;  05000
0050503V ; GAP                        ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  23324                             ;  1CAP2  MONTEUR INSTALLATIONS SANITAIRES  ;  24123324210                ;  05061              ;  05000
0050503V ; GAP                        ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  23327                             ;  1CAP2  PEINTRE APPLICATEUR REVETEMENTS   ;  24123327210                ;  05061              ;  05000
0050503V ; GAP                        ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  23441                             ;  1CAP2  MENUISIER FABRICT MEN MOB AGENCMT ;  24123441210                ;  05061              ;  05000
0050503V ; GAP                        ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  25218                             ;  1CAP2  MAINT.VEHIC.OPTA VOIT.PARTICUL.   ;  24125218210                ;  05061              ;  05000
0050503V ; GAP                        ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  25220                             ;  1CAP2  MAINT.VEHIC.OPTC MOTOCYCLES       ;  24125220210                ;  05061              ;  05000
0050503V ; GAP                        ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  25434                             ;  1CAP2  REPARATION DES CARROSSERIES       ;  24125434210                ;  05061              ;  05000
0050503V ; GAP                        ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  31216                             ;  1CAP2  EMPL.VENTE: PRDTS EQUIP.COURANTS  ;  24131216210                ;  05061              ;  05000
0050503V ; GAP                        ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  31224                             ;  1CAP2 EQUIPIER POLYVALENT DU COMMERCE    ;  AFFECTATION                ;  05061              ;  05000
0050503V ; GAP                        ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  33412                             ;  1CAP2  COMMER.SERV.HOTEL-CAFE-RESTAURANT ;  24133412210                ;  05061              ;  05000
0050503V ; GAP                        ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  33616                             ;  1CAP2  METIERS DE LA COIFFURE            ;  24133616210                ;  05061              ;  05000
0050503V ; GAP                        ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  2NDPRO                       ;  25218                             ;  2NDPRO MAINTENANCE VEHIC. 2NDE COMMUNE   ;  24725218310                ;  05061              ;  05000
0050503V ; GAP                        ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  2NDPRO                       ;  31213                             ;  2NDPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM. ;  24731213310                ;  05061              ;  05000
0050606G ; VENTAVON                   ; AIX-MARSEILLE                            ; Agriculture         ; CTRE FORMATION PROFESSIONNELLE AGRICOLE  ;  1CAP2                        ;  33204                             ;  1CAP2  ACCOMPAG. EDUCATIF PETITE ENFANCE ;  24133204210                ;  05178              ;  05300
0050606G ; VENTAVON                   ; AIX-MARSEILLE                            ; Agriculture         ; CTRE FORMATION PROFESSIONNELLE AGRICOLE  ;  2DPROA                       ;  21112                             ;  2DPROA PRODUCTIONS                       ;  27621112310                ;  05178              ;  05300
0050629G ; L ARGENTIERE LA BESSEE     ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  22715                             ;  1CAP2  MONTEUR INSTALLATIONS THERMIQUES  ;  24122715210                ;  05006              ;  05120
0050629G ; L ARGENTIERE LA BESSEE     ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  23217                             ;  1CAP2  MACON                             ;  24123217210                ;  05006              ;  05120
0050629G ; L ARGENTIERE LA BESSEE     ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  23439                             ;  1CAP2  CHARPENTIER BOIS                  ;  24123439210                ;  05006              ;  05120
0050629G ; L ARGENTIERE LA BESSEE     ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  23441                             ;  1CAP2  MENUISIER FABRICT MEN MOB AGENCMT ;  24123441210                ;  05006              ;  05120
0050631J ; GAP                        ; AIX-MARSEILLE                            ; Agriculture         ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2A                       ;  21130                             ;  1CAP2A METIERS DE L'AGRICULTURE          ;  27121130210                ;  05061              ;  05000
0050631J ; GAP                        ; AIX-MARSEILLE                            ; Agriculture         ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2A                       ;  33003                             ;  1CAP2A SERVICES AUX PERS VTE ESP RURAL   ;  27133003210                ;  05061              ;  05000
0050631J ; GAP                        ; AIX-MARSEILLE                            ; Agriculture         ; CENTRE DE FORMATION D APPRENTIS          ;  2PROA                        ;  21211                             ;  2NDE PRO AGRI-COND.GEST.ENTREPR.HIPPIQUE ;  AFFECTATION                ;  05061              ;  05000
0050644Y ; BRIANCON                   ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2R                       ;  999                               ;  1CAP2 METIERS DIVERS APPRENT.            ;  AFFECTATION                ;  05023              ;  05100
0050645Z ; SAVINES LE LAC             ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2R                       ;  999                               ;  1CAP2 METIERS DIVERS APPRENT.            ;  AFFECTATION                ;  05164              ;  05160
0050649D ; GAP CEDEX                  ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2R                       ;  999                               ;  1CAP2 METIERS DIVERS APPRENT.            ;  AFFECTATION                ;  05061              ;  05006
0050654J ; NEFFES                     ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  31117                             ;  1CAP2  CONDUCTEUR ROUTIER MARCHANDISES   ;  24131117210                ;  05092              ;  05000
0130033R ; MARIGNANE CEDEX            ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  2NDPRO                       ;  25510                             ;  2NDPRO METIERS ELECT. ENVIRON. CONNECTES ;  24725510310                ;  13054              ;  13721
0130049H ; MARSEILLE                  ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE                                    ;  2NDPRO                       ;  25106                             ;  2NDPRO TECHNICIEN D'USINAGE              ;  24725106310                ;  13207              ;  13007
0130053M ; MARSEILLE CEDEX 10         ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE                                    ;  1CAP2                        ;  22715                             ;  1CAP2  MONTEUR INSTALLATIONS THERMIQUES  ;  24122715210                ;  13210              ;  13395
0130053M ; MARSEILLE CEDEX 10         ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE                                    ;  1CAP2                        ;  23002                             ;  1CAP2 MAINTENANCE BATIMENTS DE COLLECT.  ;  24123002210                ;  13210              ;  13395
0130053M ; MARSEILLE CEDEX 10         ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE                                    ;  1CAP2                        ;  23324                             ;  1CAP2  MONTEUR INSTALLATIONS SANITAIRES  ;  24123324210                ;  13210              ;  13395
0130053M ; MARSEILLE CEDEX 10         ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE                                    ;  1CAP2                        ;  23326                             ;  1CAP2  METIERS PLATRE ET ISOLATION       ;  24123326210                ;  13210              ;  13395
0130056R ; MARSEILLE                  ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  25524                             ;  1CAP2  ELECTRICIEN                       ;  24125524210                ;  13214              ;  13014
0130057S ; MARSEILLE                  ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  2NDPRO                       ;  23102                             ;  2NDPRO TRAVAUX PUBLICS                   ;  24723102310                ;  13211              ;  13011
0130063Y ; MARSEILLE                  ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  33615                             ;  1CAP2  ESTHETIQUE COSMETIQUE PARFUMERIE  ;  24133615210                ;  13208              ;  13008
0130071G ; MARSEILLE CEDEX 20         ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  2NDPRO                       ;  31213                             ;  2NDPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM. ;  24731213310                ;  13207              ;  13177
0130150T ; PORT DE BOUC               ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  22137                             ;  1CAP2  BOULANGER                         ;  24122137210                ;  13077              ;  13110
0130150T ; PORT DE BOUC               ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  22141                             ;  1CAP2  PATISSIER                         ;  24122141210                ;  13077              ;  13110
0130150T ; PORT DE BOUC               ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  25217                             ;  1CAP2  REPAR.ENTR.EMBARCATIONS PLAISANCE ;  24125217210                ;  13077              ;  13110
0130150T ; PORT DE BOUC               ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  25218                             ;  1CAP2  MAINT.VEHIC.OPTA VOIT.PARTICUL.   ;  24125218210                ;  13077              ;  13110
0130150T ; PORT DE BOUC               ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  25433                             ;  1CAP2  PEINTURE EN CARROSSERIE           ;  24125433210                ;  13077              ;  13110
0130150T ; PORT DE BOUC               ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  25434                             ;  1CAP2  REPARATION DES CARROSSERIES       ;  24125434210                ;  13077              ;  13110
0130150T ; PORT DE BOUC               ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  31224                             ;  1CAP2 EQUIPIER POLYVALENT DU COMMERCE    ;  AFFECTATION                ;  13077              ;  13110
0130150T ; PORT DE BOUC               ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  33615                             ;  1CAP2  ESTHETIQUE COSMETIQUE PARFUMERIE  ;  24133615210                ;  13077              ;  13110
0130150T ; PORT DE BOUC               ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  33616                             ;  1CAP2  METIERS DE LA COIFFURE            ;  24133616210                ;  13077              ;  13110
0130150T ; PORT DE BOUC               ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  2NDPRO                       ;  25009                             ;  2NDPRO MAINTENANCE NAUTIQUE              ;  24725009310                ;  13077              ;  13110
0130150T ; PORT DE BOUC               ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  2NDPRO                       ;  25218                             ;  2NDPRO MAINTENANCE VEHIC. 2NDE COMMUNE   ;  24725218310                ;  13077              ;  13110
0130161E ; SALON DE PROVENCE          ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE                                    ;  1CAP2                        ;  33204                             ;  1CAP2  ACCOMPAG. EDUCATIF PETITE ENFANCE ;  24133204210                ;  13103              ;  13300
0130171R ; ARLES CEDEX                ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  22139                             ;  1CAP2  CUISINE                           ;  24122139210                ;  13004              ;  13631
0130171R ; ARLES CEDEX                ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  25218                             ;  1CAP2  MAINT.VEHIC.OPTA VOIT.PARTICUL.   ;  24125218210                ;  13004              ;  13631
0130171R ; ARLES CEDEX                ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  33412                             ;  1CAP2  COMMER.SERV.HOTEL-CAFE-RESTAURANT ;  24133412210                ;  13004              ;  13631
0130171R ; ARLES CEDEX                ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  33616                             ;  1CAP2  METIERS DE LA COIFFURE            ;  24133616210                ;  13004              ;  13631
0130171R ; ARLES CEDEX                ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  2NDPRO                       ;  25214                             ;  2NDPRO MAINT.VEHIC.OPTA VOIT.PARTICUL.   ;  24725214310                ;  13004              ;  13631
0130171R ; ARLES CEDEX                ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  2NDPRO                       ;  25510                             ;  2NDPRO METIERS ELECT. ENVIRON. CONNECTES ;  24725510310                ;  13004              ;  13631
0130172S ; MARSEILLE                  ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  22361                             ;  1CAP2  ART TEC. BIJ. JOAILL.OP.BIJ.JOAIL ;  24122361210                ;  13207              ;  13007
0130172S ; MARSEILLE                  ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  2NDPRO                       ;  32210                             ;  2NDPRO MET.INDUS.GRAPH.&COMM.2NDE COMM.  ;  AFFECTATION                ;  13207              ;  13007
0130172S ; MARSEILLE                  ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  2NDPRO                       ;  33102                             ;  2NDPRO PROTHESE DENTAIRE                 ;  24733102310                ;  13207              ;  13007
0131485U ; SALON DE PROVENCE          ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  33412                             ;  1CAP2  COMMER.SERV.HOTEL-CAFE-RESTAURANT ;  24133412210                ;  13103              ;  13300
0131515B ; MARSEILLE                  ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  33615                             ;  1CAP2  ESTHETIQUE COSMETIQUE PARFUMERIE  ;  24133615210                ;  13206              ;  13006
0131515B ; MARSEILLE                  ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  33616                             ;  1CAP2  METIERS DE LA COIFFURE            ;  24133616210                ;  13206              ;  13006
0131518E ; SALON DE PROVENCE          ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  33615                             ;  1CAP2  ESTHETIQUE COSMETIQUE PARFUMERIE  ;  24133615210                ;  13103              ;  13300
0131518E ; SALON DE PROVENCE          ; AIX-MARSEILLE                            ; Education Nationale ; LYCEE PROFESSIONNEL                      ;  1CAP2                        ;  33616                             ;  1CAP2  METIERS DE LA COIFFURE            ;  24133616210                ;  13103              ;  13300
0131767A ; SALON DE PROVENCE          ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  22135                             ;  1CAP2  BOUCHER                           ;  24122135210                ;  13103              ;  13300
0131767A ; SALON DE PROVENCE          ; AIX-MARSEILLE                            ; Education Nationale ; CENTRE DE FORMATION D APPRENTIS          ;  1CAP2                        ;  22137                             ;  1CAP2  BOULANGER                         ;  24122137210                ;  13103              ;  13300
